MarketingHomeStoreid,Store_Type,Age_30th_June,WinbackRateQ2,ChurnRateQ2,Regular_Base_PerQ2,New_Neighbor_AcquisitionQ2,WinBack_RateQ1,Churn_RateQ1,Regular_Base_PerQ1,New_Neighbor_AcquisitionQ1
8060,Post,4.369609856,0.04937959,0.155183312,0.286772009,575,0.051132768,0.126260983,0.286024227,608
8017,Pre,19.07186858,0.03833652,0.168589744,0.230118443,689,0.038985264,0.135934959,0.229749632,598
239,Post,3.334702259,0.053059015,0.178548283,0.250709019,779,0.049169435,0.165203252,0.250466683,836
97,Pre,20.79671458,0.05827153,0.139783372,0.341203427,739,0.061581579,0.109009009,0.340816123,862
192,Pre,9.103353867,0.055306239,0.157628676,0.2904928,583,0.050669216,0.147747748,0.292093606,609
8057,Post,5.582477755,0.049679313,0.17373501,0.270248913,450,0.057079553,0.154515452,0.270962118,498
127,Pre,6.721423682,0.063444109,0.145471833,0.336858974,511,0.07137528,0.129236772,0.337045345,608
166,Pre,12.70910335,0.047139588,0.190497738,0.252081195,754,0.047147355,0.145709041,0.25213919,780
231,Post,3.520876112,0.071927104,0.148213711,0.375294615,677,0.072585366,0.124227642,0.375922565,745
7009,Pre,8.971937029,0.057053401,0.149497052,0.333951118,516,0.062185166,0.127169678,0.333989805,543
9068,Post,4.407939767,0.069460317,0.153221957,0.346975973,544,0.072820513,0.131611016,0.347285537,584
9013,Pre,22.62286105,0.062292175,0.140740741,0.324136384,492,0.054272258,0.131681578,0.323789537,531
184,Pre,9.155373032,0.058451817,0.139372035,0.348991696,441,0.063499817,0.115137615,0.349794564,424
113,Pre,13.49212868,0.060965008,0.125817282,0.380501243,353,0.062943835,0.108333333,0.38079537,384
7011,Pre,7.055441478,0.050668205,0.138536802,0.303643182,804,0.053299252,0.119238707,0.301852598,763
9073,Post,4.13963039,0.061366268,0.135102822,0.350100267,516,0.062659847,0.116358325,0.349811794,576
19,Pre,26.2477755,0.055320691,0.170575098,0.301643489,353,0.057659419,0.149569085,0.301998145,393
4111,Pre,23.18959617,0.060616597,0.1416112,0.336457933,481,0.059209755,0.133012821,0.335541009,521
3,Pre,8.911704312,0.08055488,0.120315236,0.407516316,643,0.071896232,0.10092068,0.409965537,500
25,Pre,25.93292266,0.052065749,0.167829298,0.301642392,597,0.053086198,0.135218193,0.302188604,668
62,Pre,24.30390144,0.076598174,0.133098704,0.416516577,401,0.071404011,0.098522967,0.416427953,564
60,Pre,24.57768652,0.067509939,0.117318964,0.433226758,883,0.072482734,0.097973937,0.433293737,927
9058,Post,5.155373032,0.088362618,0.12181693,0.424398121,243,0.077334012,0.098094566,0.425289038,300
9077,Post,2.532511978,0.017714286,0.217258262,0.31869195,39,0.062068966,0.118971061,0.318270354,338
4032,Post,2.168377823,0.067013373,0.136191677,0.320855615,648,0.067369461,0.128437399,0.320339325,744
8045,Pre,6.803559206,0.050441152,0.182317802,0.258475625,643,0.054355223,0.155042527,0.258349281,838
8018,Pre,18.55167693,0.045709316,0.180400891,0.232985263,621,0.042542975,0.15297542,0.232970128,619
30,Pre,25.68104038,0.061810952,0.138812785,0.371571072,268,0.064144144,0.131940299,0.372533454,235
8030,Pre,6.631074606,0.048953975,0.167185629,0.258885449,790,0.051962271,0.155172414,0.258914729,973
159,Pre,13.5687885,0.057886517,0.167028671,0.324305311,500,0.058706363,0.138630965,0.324019987,443
9,Pre,27.74537988,0.054510968,0.165329352,0.307222381,560,0.055167884,0.14021115,0.306491278,584
8039,Pre,9.557837098,0.064776023,0.167239686,0.304312084,631,0.068999346,0.129917184,0.304312084,864
7006,Pre,11.59479808,0.055121874,0.132483699,0.34942005,424,0.058002822,0.116611989,0.349601078,462
8026,Pre,15.39219713,0.054812359,0.179444178,0.331355798,478,0.060324553,0.130550837,0.330718644,619
179,Pre,10.86379192,0.04924797,0.191114245,0.274159258,333,0.051009704,0.157283603,0.274036139,401
9014,Pre,23.40588638,0.054353804,0.155362947,0.296796604,478,0.050560262,0.135951662,0.29726248,548
141,Pre,15.46885695,0.07518951,0.126629123,0.387691151,431,0.074685372,0.118800648,0.388996683,446
53,Pre,12.57494867,0.074031891,0.122185154,0.427250637,393,0.072495109,0.105365582,0.42689295,424
9020,Pre,22.28884326,0.0601315,0.132388664,0.370253403,399,0.066340532,0.113882642,0.371288989,409
4049,Pre,15.96440794,0.057414358,0.144508671,0.271637971,1818,0.066777042,0.131278539,0.271664534,1976
8016,Pre,19.16769336,0.036177518,0.195900363,0.196354725,888,0.03640257,0.164383562,0.1968134,973
8013,Pre,12.28747433,0.050772627,0.168036999,0.290377879,662,0.053747482,0.140826873,0.290339426,698
207,Post,5.691991786,0.092215569,0.110760741,0.465092872,361,0.103117924,0.094177732,0.464694569,380
7002,Pre,16.58863792,0.058949704,0.126114316,0.361199925,947,0.062075583,0.103286385,0.360696047,969
8033,Pre,11.56468172,0.052298244,0.187422935,0.280815315,613,0.058124174,0.170985711,0.280118817,712
9065,Post,3.296372348,0.081317108,0.136980492,0.40326022,559,0.078282828,0.111158983,0.403042475,634
4006,Post,2.379192334,0.051367664,0.129685917,0.275897341,723,0.047930574,0.109046283,0.275493115,788
8051,Post,4.427104723,0.069477544,0.153330852,0.329717473,693,0.068775418,0.123327516,0.330017195,825
182,Pre,10.4257358,0.067459927,0.148496556,0.370434567,398,0.06909199,0.123037975,0.369246992,432
9003,Pre,11.60848734,0.060735561,0.139109507,0.349776917,464,0.065203188,0.126269956,0.349835817,477
9030,Pre,19.53730322,0.056511057,0.139716659,0.358851257,271,0.056664868,0.120222545,0.35849387,287
64,Pre,24.13415469,0.059713286,0.137990513,0.343585563,459,0.057995495,0.124166129,0.343631918,501
87,Pre,23.32648871,0.069412662,0.138035998,0.390651602,569,0.068049366,0.104247622,0.39039008,649
167,Pre,13.0403833,0.077168838,0.12481293,0.44973262,178,0.07904457,0.109231226,0.450877193,141
59,Pre,24.55030801,0.066983938,0.133551744,0.381330978,356,0.065330804,0.109281147,0.38171252,367
150,Pre,14.54893908,0.056647399,0.156342183,0.258530558,727,0.059455873,0.162182936,0.258359531,799
168,Pre,12.33127995,0.055535157,0.163449692,0.30926465,473,0.057420174,0.148155696,0.308931743,500
7010,Pre,7.863107461,0.055987369,0.142354125,0.32461375,500,0.059580553,0.122779923,0.325634726,535
8031,Pre,13.5523614,0.052827043,0.157701487,0.292191436,745,0.052194979,0.144622763,0.292205354,792
9009,Pre,13.16358658,0.046511628,0.181093807,0.277722576,365,0.040470331,0.14884696,0.276514772,361
9012,Pre,22.74880219,0.053293643,0.164592884,0.307058047,511,0.049328215,0.135152557,0.305501834,458
103,Pre,20.60780287,0.064069174,0.152270081,0.308931397,541,0.067166612,0.128861004,0.309126242,793
9076,Post,2.913073238,0.075153145,0.124454148,0.381000832,561,0.066512346,0.127623643,0.381137309,597
8024,Pre,16.77754962,0.059228471,0.15307971,0.300108834,457,0.050012923,0.145944346,0.300790119,417
121,Pre,17.23203285,0.046610169,0.176937019,0.285420813,400,0.049346492,0.134711495,0.284664001,478
4021,Post,2.091718001,0.069866034,0.131747484,0.357477399,707,0.082563619,0.116837388,0.357345248,826
178,Pre,11.36755647,0.077064784,0.118904726,0.447890188,135,0.090115373,0.099119786,0.450109742,157
119,Pre,17.60164271,0.069495055,0.130759425,0.419078648,301,0.077002318,0.105728495,0.416774194,272
169,Pre,12.17522245,0.064832044,0.131150266,0.370687531,623,0.063451275,0.106211076,0.370740124,668
24,Pre,25.83162218,0.05249468,0.147043154,0.30675853,284,0.060737527,0.132177681,0.307402555,258
4028,Post,2.149212868,0.070967742,0.129781421,0.378917379,526,0.070332188,0.108362369,0.37863701,517
8035,Pre,10.49965777,0.060866247,0.162327718,0.303750415,730,0.06384197,0.130049932,0.3036604,850
190,Pre,9.629021218,0.05197987,0.176890399,0.280935817,563,0.052277771,0.156681252,0.280411683,603
158,Pre,13.82888433,0.058686596,0.151082803,0.323580605,575,0.05859375,0.130680359,0.324729048,605
9061,Post,4.6954141,0.057187177,0.149186483,0.290962528,550,0.05923527,0.137098845,0.292352726,694
172,Pre,12.16974675,0.069051664,0.129800436,0.371775607,427,0.065581952,0.114925122,0.373387602,477
197,Pre,8.049281314,0.069118905,0.136269888,0.368217054,501,0.064166015,0.111607808,0.367355774,607
181,Pre,10.61738535,0.067432636,0.13170509,0.373162393,341,0.063143445,0.11726015,0.37470065,311
4117,Post,4.676249144,0.054758801,0.127776602,0.357230018,504,0.058243081,0.101157308,0.359085384,530
8032,Pre,12.5338809,0.052318113,0.185619956,0.241183767,546,0.053058824,0.157311951,0.241474001,656
9026,Pre,21.06228611,0.045700135,0.159583333,0.264163446,659,0.041230953,0.150721105,0.264812976,639
201,Pre,7.553730322,0.068562256,0.155057252,0.324391379,197,0.062002808,0.14800759,0.324608952,262
7016,Post,5.048596851,0.041337668,0.178748759,0.21824791,928,0.046887929,0.148470097,0.219135355,945
136,Pre,15.56468172,0.080069626,0.151298457,0.434048828,533,0.137690355,0.075687104,0.435288336,308
7017,Post,3.627652293,0.066146073,0.13721619,0.367620296,638,0.067977916,0.110637434,0.367748493,807
5,Pre,28.49281314,0.062017603,0.124308805,0.388863627,712,0.059166384,0.112649465,0.389012989,693
227,Post,3.942505133,0.065579173,0.140974563,0.351111586,488,0.070739015,0.114477041,0.349657094,462
9043,Pre,11.19233402,0.075163399,0.118741059,0.397234503,369,0.067846154,0.108653846,0.394915254,318
9046,Pre,8.566735113,0.061100978,0.150131153,0.349062702,643,0.0622211,0.122524752,0.349511945,720
209,Post,3.909650924,0.062468429,0.164533133,0.308301316,293,0.068866328,0.161904762,0.30901687,357
9071,Post,3.961670089,0.055598713,0.184058412,0.267960532,673,0.045057162,0.16730486,0.267279232,738
4116,Pre,6.861054073,0.05530658,0.154742765,0.336568925,467,0.061445174,0.127560333,0.336352575,507
237,Post,3.633127995,0.070398053,0.134684454,0.403417918,249,0.067116416,0.113868987,0.403895969,317
9055,Post,5.653661875,0.054595632,0.170466596,0.311530848,351,0.047888341,0.148669396,0.311581034,460
235,Post,3.37303217,0.050227189,0.194305502,0.241831891,566,0.044989775,0.172243346,0.241947496,662
4042,Pre,16.80492813,0.068035944,0.128346457,0.352214355,766,0.085121951,0.10479798,0.352093152,748
4047,Pre,7.786447639,0.077168367,0.125444388,0.385837583,527,0.090778098,0.105573419,0.385700294,470
112,Pre,18.97604381,0.063505967,0.14206501,0.362369338,436,0.063808901,0.117397998,0.364130056,495
7007,Pre,11.73716632,0.048236515,0.148521082,0.291884457,485,0.052740168,0.141314703,0.291827365,669
9063,Post,2.743326489,0.055529245,0.149697145,0.290947192,718,0.050896057,0.132745962,0.29102661,861
9052,Post,6.286105407,0.069629778,0.137593985,0.348314607,624,0.067492134,0.117375409,0.348008111,767
213,Post,4.840520192,0.068342228,0.131952017,0.355532162,765,0.069434691,0.116966581,0.355879581,972
114,Pre,18.39835729,0.06083943,0.140541693,0.375464985,301,0.066049859,0.119001919,0.375721154,335
7018,Post,2.915811088,0.050434616,0.158687943,0.245134784,992,0.051948052,0.127774255,0.244279217,1146
8061,Post,4.257357974,0.046536603,0.182153846,0.224987867,781,0.048541042,0.16730038,0.225318913,932
145,Pre,14.91033539,0.049460502,0.184631804,0.269646761,436,0.052878232,0.157042404,0.269531699,454
152,Pre,14.31895962,0.059069478,0.158653846,0.307606748,438,0.059042884,0.138383838,0.307521715,503
8036,Pre,10.04243669,0.070583263,0.167908462,0.346075903,492,0.072954737,0.13748979,0.346168018,503
8020,Pre,17.65092402,0.051673517,0.181290189,0.220447577,1445,0.049468116,0.140734069,0.220630635,1407
9028,Pre,19.90691307,0.060345633,0.161803714,0.32952131,564,0.053730777,0.147666972,0.330225865,637
28,Pre,25.82614648,0.06431314,0.127257525,0.388203823,349,0.0666737,0.113415858,0.389424329,368
102,Pre,20.75564682,0.051226453,0.167324628,0.307987639,243,0.047606276,0.148581457,0.308564468,253
7019,Post,2.685831622,0.084561533,0.116967306,0.396201266,733,0.077245053,0.107341328,0.395276292,760
151,Pre,14.4202601,0.051873199,0.181839678,0.270006382,494,0.050263864,0.1447337,0.269706633,613
4018,Post,2.455852156,0.055379508,0.139093783,0.297791398,587,0.062746287,0.109310215,0.30050665,654
76,Pre,23.27173169,0.054997818,0.145977809,0.294925679,393,0.048150323,0.131958763,0.295582659,415
246,Post,2.973305955,0.067464771,0.147317854,0.31839482,589,0.064040661,0.137809187,0.318459969,661
45,Pre,25.0349076,0.041059603,0.166602907,0.248245115,860,0.041656131,0.138611963,0.2479723,912
9059,Post,5.308692676,0.050975456,0.162939297,0.320659604,412,0.062830521,0.133930997,0.320998205,483
130,Pre,15.91238877,0.060023141,0.152938284,0.368906336,234,0.063968668,0.141903172,0.370366998,233
9005,Pre,23.6440794,0.064889581,0.148087729,0.349168195,649,0.062741313,0.122579467,0.349265637,645
185,Pre,10.08898015,0.0629681,0.146949602,0.342890952,455,0.067466887,0.124355145,0.343351548,463
120,Pre,17.40999316,0.068312847,0.127479625,0.415313077,349,0.069373017,0.107555008,0.414309378,378
243,Post,3.145790554,0.065818182,0.134505821,0.328856329,556,0.061766145,0.118781726,0.328558639,621
232,Post,3.392197125,0.068660394,0.129153269,0.386099856,536,0.073711456,0.110116874,0.385377943,585
77,Pre,23.26625599,0.052858469,0.143222506,0.341314226,735,0.055466986,0.115167095,0.341514543,853
72,Pre,23.59479808,0.074298711,0.131301514,0.359422492,631,0.072905332,0.105941591,0.361038062,732
205,Pre,6.527036277,0.074098546,0.131907587,0.378038067,673,0.072399887,0.111769416,0.376823529,703
8050,Post,5.639972621,0.05059693,0.151179941,0.278912263,468,0.049074473,0.128474831,0.278210915,576
9064,Post,4.733744011,0.073156846,0.137204402,0.377470531,529,0.071004202,0.116722249,0.378064973,609
48,Pre,14.06160164,0.072315559,0.136689255,0.388198293,415,0.069918699,0.125047874,0.386052769,413
4114,Pre,12.73648186,0.056301769,0.155424396,0.284765031,564,0.061049786,0.141275852,0.284822286,607
165,Pre,13.12799452,0.04640086,0.17654879,0.22428682,727,0.045272969,0.153429114,0.224162594,844
8056,Post,5.577002053,0.068296469,0.138604036,0.370025713,403,0.071702454,0.104722793,0.369695487,337
9056,Post,5.639972621,0.086402821,0.125725338,0.41556367,345,0.087261026,0.094295693,0.414880202,411
51,Pre,24.79397673,0.057975789,0.147241032,0.363374679,498,0.057943618,0.119373219,0.363707818,526
143,Pre,15.12936345,0.065698893,0.145269365,0.359521531,357,0.064757907,0.118331979,0.358302122,381
75,Pre,23.32648871,0.05886467,0.129368486,0.363036059,412,0.056232427,0.12105369,0.363197743,462
216,Post,4.714579055,0.070026425,0.136770608,0.379785247,391,0.068758474,0.112158341,0.379407286,426
7014,Pre,6.622861054,0.059109491,0.151056614,0.297270048,619,0.055048896,0.120433018,0.297500776,794
4025,Post,2.149212868,0.051389522,0.148895293,0.274820239,1061,0.057960824,0.120475829,0.275051192,1259
240,Post,3.238877481,0.078726115,0.14442344,0.401342896,424,0.082662578,0.123829543,0.402587519,438
241,Post,3.419575633,0.080186325,0.114233672,0.38973943,635,0.076689189,0.098972418,0.389993911,691
115,Pre,18.01505818,0.074493574,0.135111423,0.383140474,386,0.068439407,0.127218935,0.382971574,356
8009,Pre,21.63723477,0.039788064,0.21755102,0.199077021,486,0.04169508,0.182720132,0.196739741,601
218,Post,4.235455168,0.067732832,0.178481807,0.332077841,501,0.062480228,0.142095358,0.333263642,542
171,Pre,12.24640657,0.073102287,0.139489954,0.419412724,249,0.073250213,0.116692131,0.420710396,248
8028,Pre,14.54893908,0.049711465,0.163009404,0.273782373,940,0.051687254,0.126790147,0.273805917,999
7008,Pre,10.17659138,0.050864128,0.175129948,0.2600291,396,0.053179672,0.141618497,0.260033271,493
183,Pre,10.39835729,0.070541843,0.121141254,0.385083169,389,0.063036021,0.101067616,0.384428661,407
124,Pre,17.00752909,0.058861578,0.14061557,0.34816846,396,0.061007382,0.126429862,0.348915561,462
247,Post,3.175906913,0.090791516,0.117826087,0.372062875,326,0.083701586,0.108805901,0.373013299,379
8054,Post,5.730321697,0.054273152,0.150637312,0.263477293,681,0.055889079,0.127729707,0.262389784,862
9034,Pre,17.65092402,0.061889586,0.137748344,0.351484489,417,0.062688743,0.117680717,0.352051692,508
9048,Pre,7.208761123,0.054777369,0.148529146,0.302616485,624,0.053254438,0.126022913,0.302456332,650
4035,Post,2.22587269,0.053510717,0.133333333,0.322221107,503,0.062337662,0.131727159,0.321804511,629
38,Pre,12.53661875,0.057990712,0.135480289,0.379484659,378,0.058956149,0.120727273,0.379637437,410
8058,Post,5.059548255,0.064019449,0.145859085,0.352869246,420,0.073233002,0.131147541,0.353305966,503
8047,Pre,6.636550308,0.070683272,0.139253921,0.345843718,631,0.071868353,0.113022113,0.346122808,838
9027,Pre,13.16358658,0.05799458,0.151461613,0.325883088,584,0.054674133,0.130961876,0.325270362,645
163,Pre,13.58247775,0.03950104,0.171000441,0.344420925,142,0.071081269,0.115915363,0.343892089,309
186,Pre,9.984941821,0.052042221,0.180143885,0.241922006,492,0.051415525,0.171105964,0.241823243,532
7015,Post,5.546885695,0.063929211,0.139674379,0.316467716,892,0.06025412,0.116123269,0.316990357,925
6,Pre,13.76317591,0.060512577,0.131147541,0.367872562,226,0.06733225,0.095845331,0.372449739,218
108,Pre,19.78370979,0.056889353,0.163122633,0.308537464,360,0.058568044,0.147280093,0.309362891,371
106,Pre,20.0054757,0.047453266,0.190713929,0.232957845,518,0.048524787,0.170110887,0.23264998,646
4043,Pre,16.80492813,0.061825207,0.139642621,0.340457443,891,0.076923077,0.140848214,0.340009001,1058
12,Pre,12.31759069,0.055063291,0.152570233,0.298004435,643,0.052881226,0.144752358,0.29752801,790
242,Post,3.145790554,0.080220994,0.114447592,0.434181002,301,0.079333772,0.094563331,0.43823712,282
